id,category,task,system,score,verdict,coverage,failed,time,retries
10,شخصي,صفحة شخصية لمصمم جرافيك مع أعمال,Multi-No-Validator,10/10,PASS,100.0,,13.2,0
10,شخصي,صفحة شخصية لمصمم جرافيك مع أعمال,HDAFA,10/10,PASS,100.0,,9.9,0
11,شخصي,صفحة شخصية لمطور برمجيات مع مشاريع,Single-Agent,10/10,PASS,80.0,,9.6,0
11,شخصي,صفحة شخصية لمطور برمجيات مع مشاريع,Single+Validator,10/10,PASS,100.0,,6.9,0
11,شخصي,صفحة شخصية لمطور برمجيات مع مشاريع,Multi-No-Validator,10/10,PASS,100.0,,15.1,0
11,شخصي,صفحة شخصية لمطور برمجيات مع مشاريع,HDAFA,10/10,PASS,100.0,,8.4,0
12,شخصي,صفحة شخصية لمصور فوتوغرافي مع معرض,Single-Agent,10/10,PASS,80.0,,10.6,0
12,شخصي,صفحة شخصية لمصور فوتوغرافي مع معرض,Single+Validator,10/10,PASS,80.0,,10.2,0
12,شخصي,صفحة شخصية لمصور فوتوغرافي مع معرض,Multi-No-Validator,10/10,PASS,100.0,,14.6,0
12,شخصي,صفحة شخصية لمصور فوتوغرافي مع معرض,HDAFA,10/10,PASS,100.0,,13.5,0
13,حدية,صفحة بـ 8 أقسام مختلفة ومعقدة,Single-Agent,10/10,PASS,80.0,,14.0,0
13,حدية,صفحة بـ 8 أقسام مختلفة ومعقدة,Single+Validator,10/10,PASS,80.0,,14.8,0
13,حدية,صفحة بـ 8 أقسام مختلفة ومعقدة,Multi-No-Validator,10/10,PASS,100.0,,9.7,0
13,حدية,صفحة بـ 8 أقسام مختلفة ومعقدة,HDAFA,10/10,PASS,100.0,,9.4,0
14,حدية,صفحة بـ 12 قسماً,Single-Agent,10/10,PASS,50.0,,9.4,0
14,حدية,صفحة بـ 12 قسماً,Single+Validator,10/10,PASS,66.7,,13.8,0
14,حدية,صفحة بـ 12 قسماً,Multi-No-Validator,10/10,PASS,100.0,,11.1,0
14,حدية,صفحة بـ 12 قسماً,HDAFA,10/10,PASS,100.0,,8.9,0
